VideoTitle,ChannelTitle,PublishTime,Tags,Views,Likes,Dislikes,Description,CommentCount
"Cute Kittens Playing",CatLoversUnited,"2023-05-01T10:00:00Z","kittens, cats, cute, pets",10000,500,10,"Watch these adorable kittens playing with toys and each other!",50
"Top 10 Movie Trailers of 2022",MovieMania,"2023-04-30T15:30:00Z","movies, trailers, 2022, top 10",50000,1000,50,"Check out the best movie trailers released in 2022 and get excited for upcoming films!",100
"Delicious Chocolate Cake Recipe",BakingWithJoy,"2023-05-02T12:15:00Z","baking, chocolate cake, recipe, dessert",20000,800,20,"Learn how to make a moist and decadent chocolate cake from scratch with this easy recipe.",80
"Guitar Tutorial: Beginner Chords",GuitarGuru,"2023-05-03T09:45:00Z","guitar, tutorial, beginner, chords, music",15000,700,30,"Master the basic chords on the guitar and start playing your favorite songs in no time!",70
"Travel Vlog: Exploring Bali",WanderlustAdventures,"2023-05-04T14:20:00Z","travel, vlog, Bali, adventure",3000,100,5,"Join me on an exciting journey through the stunning landscapes and vibrant culture of Bali.",20
"Fitness Workout: Full Body Routine",FitLife,"2023-05-05T16:00:00Z","fitness, workout, full body, exercise",4000,150,10,"Get ready to sweat with this intense full body workout routine that will help you stay fit and healthy.",30
"DIY Home Decor: Upcycled Furniture Ideas",CraftyCorner,"2023-05-06T11:30:00Z","DIY, home decor, upcycled, furniture",8000,300,15,"Transform your old furniture into stunning pieces with these creative and budget-friendly DIY ideas.",40
"Unboxing the Latest Tech Gadgets",TechGeeks,"2023-05-07T09:00:00Z","unboxing, tech gadgets, technology",12000,400,25,"Join us as we unbox and review the latest and coolest tech gadgets on the market.",60
"Yoga for Stress Relief",YogaZen,"2023-05-08T18:45:00Z","yoga, stress relief, relaxation, mindfulness",6000,250,12,"Relieve stress and find inner peace with this calming and rejuvenating yoga practice.",50
"Cooking Challenge: 5-Minute Recipes",QuickBites,"2023-05-09T13:10:00Z","cooking, recipes, quick meals, challenge",18000,600,35,"Test your culinary skills with these quick and delicious 5-minute recipes. Can you beat the clock?",90
"Music Video: Catchy Pop Song",PopStarOfficial,"2023-05-10T17:30:00Z","music, music video, pop, catchy",25000,1200,40,"Dance and sing along to this catchy pop song with its vibrant music video that will get you in the mood to party!",150
"Art Tutorial: Watercolor Techniques",ArtisticExpressions,"2023-05-11T14:20:00Z","art, tutorial, watercolor, painting",7000,400,20,"Discover the beautiful world of watercolor painting and learn various techniques to create stunning artworks.",60
"Motivational Speech: Never Give Up",InspireMe,"2023-05-12T09:15:00Z","motivation, inspirational speech, success",9000,350,15,"Get inspired and motivated to overcome challenges and achieve your goals with this powerful speech.",45
"Science Experiment: Homemade Volcano",ScienceExplorers,"2023-05-13T12:45:00Z","science, experiment, volcano, DIY",5000,200,8,"Learn how to create a volcanic eruption at home with simple ingredients and have fun with this exciting science experiment.",35
"Book Review: Bestsellers of the Year",BookwormReviews,"2023-05-14T16:20:00Z","books, book review, bestsellers",3000,150,5,"Discover the most captivating and thought-provoking books of the year with our honest and insightful reviews.",30
"Comedy Skit: Hilarious Pranks",LaughOutLoud,"2023-05-15T19:00:00Z","comedy, skit, pranks, funny",8000,500,20,"Get ready to laugh out loud with this hilarious comedy skit filled with entertaining pranks and comedic situations.",80
"Beauty Tutorial: Glamorous Evening Makeup",BeautyByGrace,"2023-05-16T20:15:00Z","beauty, tutorial, makeup, evening glam",10000,600,25,"Learn how to create a stunning evening makeup look that will make heads turn and leave you feeling glamorous.",70
"Documentary: Wildlife in Serengeti",NatureExplorers,"2023-05-17T13:30:00Z","documentary, wildlife, Serengeti, nature",2000,80,3,"Embark on a virtual safari and witness the incredible wildlife and natural wonders of the Serengeti.",15
"Language Learning: Basic French Phrases",LanguageLearners,"2023-05-18T10:30:00Z","language learning, French, beginner, phrases",6000,250,12,"Start your journey of learning French with these essential basic phrases that will help you communicate in everyday situations.",45
"Fitness Tips: Healthy Habits for a Better Life",FitLiving,"2023-05-19T08:00:00Z","fitness, tips, healthy habits, lifestyle",4000,150,10,"Discover practical tips and advice on adopting healthy habits that will improve your overall well-being and quality of life.",30
"Food Challenge: Spicy Ramen Noodle Eating",FoodiesUnite,"2023-05-20T16:45:00Z","food challenge, spicy ramen, eating contest",10000,700,30,"Watch as participants take on the spicy ramen noodle challenge and compete to see who can handle the heat.",100
"Photography Tutorial: Mastering Composition",PhotoPro,"2023-05-21T12:10:00Z","photography, tutorial, composition, tips",5000,200,8,"Learn the art of composition and discover effective techniques to create visually striking and compelling photographs.",35
